ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
5357,11.592725,-0.421380,0.246603,0.223029,0.448590,0.160810,-29.395212,43.492916,34.194431
5411,9.409213,1.941698,-0.208296,0.280052,0.586484,-0.182394,-27.745480,43.792866,35.394234
5465,6.708553,-2.401384,0.040701,0.677747,0.093528,0.226493,-28.495358,45.742550,37.643867
5519,6.167464,3.979163,0.464475,-0.149352,-0.179329,0.021450,-26.245724,44.542744,35.394234
5573,8.647857,2.358289,1.130063,-0.154548,0.017853,0.475103,-29.095261,42.893013,34.494381
5627,10.967838,0.758962,-0.823605,-0.047031,0.017986,-0.453519,-29.395212,43.042988,35.394234
5681,10.026917,0.859518,0.553061,-0.008527,-0.080738,0.380775,-29.095261,44.092815,32.544697
5735,10.556035,1.347936,-0.268151,0.377311,-0.524531,-0.371982,-29.545187,44.842693,36.294086
5789,14.427460,-0.584185,-0.035913,-0.182793,0.356127,0.258069,-29.395212,44.992672,36.144112
5843,10.783484,-1.343147,-0.457293,0.335210,-0.074210,0.200913,-27.445528,44.542744,34.944309
5897,8.743625,-0.383072,0.890643,-0.051427,-0.043167,0.249809,-28.345383,43.642891,34.794331
5951,8.774749,0.648829,1.134852,0.153616,-0.052493,-0.005329,-28.945284,44.542744,33.894478
6005,11.178528,0.967257,0.232238,0.036106,0.062752,0.139760,-28.795309,42.893013,35.544209
6059,8.468291,-0.416591,0.052672,-0.056890,0.133631,0.143090,-29.095261,42.443085,35.244259
6113,10.180145,0.869095,-0.071826,-0.109783,-0.120574,-0.266329,-29.545187,44.092815,35.994137
6166,9.141062,1.426944,0.208296,0.006262,-0.001998,-0.259002,-28.495358,43.492916,34.944309
6220,10.508151,-2.030283,-0.234632,0.019718,-0.061953,-0.006395,-28.195406,44.242794,35.394234
6274,9.346964,1.122881,0.129287,0.101522,0.013856,0.070879,-29.395212,44.242794,34.644356
6328,8.793902,-0.222661,-0.265756,-0.038504,-0.034907,0.072211,-28.195406,45.442596,34.194431
6382,10.285490,0.409408,-0.059855,-0.130567,-0.026513,-0.002132,-28.495358,43.492916,33.894478
6436,9.818622,0.581791,0.136469,0.012657,0.019452,-0.014123,-30.145090,44.242794,33.894478
6490,9.658210,-0.500388,0.780510,-0.204510,0.041435,-0.109516,-28.495358,44.542744,33.894478
6544,9.665392,0.040701,-0.366313,0.240216,0.077274,-0.378776,-27.595505,45.142647,34.494381
6598,10.058042,-0.758962,-0.184354,0.314959,-0.021583,0.285115,-29.095261,44.842693,34.044453
6651,10.548853,1.968034,-0.088585,0.455917,0.003064,-0.019718,-28.495358,45.742550,35.394234
6705,10.271125,0.301669,-0.395043,-0.204510,-0.032375,-0.015588,-29.845139,45.142647,34.044453
6760,10.168175,-1.369483,-0.502782,-0.220364,-0.065283,0.122972,-28.795309,46.042500,34.494381
6814,12.002133,-0.177171,0.095768,-0.099524,0.208507,-0.361190,-28.495358,44.542744,33.894478
6868,8.767567,0.081403,0.392649,0.085002,0.342138,0.242747,-28.195406,44.992672,34.644356
6922,11.405977,0.639252,0.651223,0.457916,0.336276,0.007727,-29.095261,45.592571,35.544209
6975,6.576872,1.860295,0.100556,0.742364,0.957933,-0.155214,-26.995602,45.442596,36.444061
7029,6.734890,1.867477,1.472434,-0.299371,0.691603,-0.723579,-28.045431,45.592571,37.043964
7083,8.307879,-0.174777,1.527501,0.367185,0.728908,0.650035,-28.345383,46.042500,38.993649
7137,2.980781,4.362236,3.153164,-0.449389,-0.535456,0.998568,-27.445528,43.792866,39.143623
7191,-0.706290,-9.730036,-0.107739,0.153349,-1.879626,2.315293,-29.695162,41.393257,37.643867
7245,14.844050,-8.444349,-0.694318,0.018519,0.094727,-0.311761,-29.395212,37.493893,34.944309
7299,11.341333,1.029507,0.814029,-0.256870,1.325917,-1.213603,-30.744991,38.843674,37.043964
7353,2.760514,2.090138,1.845930,0.001066,0.715851,0.829098,-29.395212,41.093307,37.943817
7407,10.146626,-3.256114,3.172317,0.001998,-0.039037,1.237985,-29.095261,35.694183,38.243771
7460,7.802703,-3.169923,2.387019,0.332145,-0.951138,0.054758,-29.695162,37.943817,36.444061
7515,11.520899,-1.762132,1.065420,1.156314,-1.651934,1.340706,-30.445040,36.744015,33.894478
7569,9.801862,-3.033453,0.284910,1.025614,-1.620092,1.013890,-31.944796,33.144600,30.894966
7623,9.725247,-3.203442,-0.926556,1.349100,-1.628885,1.386937,-32.544697,30.595016,25.045919
