ts_ms,ax,ay,az,gx,gy,gz,mx,my,mz
1345,0.969652,9.562442,1.010353,-0.006395,0.005462,0.005596,16.647287,57.140690,6.148998
1347,0.984017,9.526528,0.998382,-0.010126,0.005995,0.003064,16.647287,57.140690,6.148998
1350,0.976834,9.469068,1.003170,-0.007061,0.007861,0.005462,16.797264,55.790913,7.048851
1353,1.041478,9.521740,0.972046,-0.003597,0.005462,0.005329,16.797264,55.790913,7.048851
1356,1.060631,9.521740,1.048660,-0.011724,0.005862,0.002398,16.797264,55.790913,7.048851
1359,1.005565,9.488221,1.015141,-0.006528,0.006795,0.005462,16.797264,55.490959,6.298974
1362,0.974440,9.497798,1.048660,-0.003730,0.001332,-0.000933,16.797264,55.490959,6.298974
1365,1.024718,9.507375,1.010353,-0.011724,0.010259,0.002798,16.797264,55.490959,6.298974
1368,1.000776,9.516952,1.007959,-0.011191,0.002265,0.004663,16.797264,55.490959,6.298974
1371,1.022324,9.536105,1.005565,-0.009992,0.007461,0.006262,16.797264,55.490959,6.298974
1374,0.964863,9.473856,0.972046,-0.006928,0.006528,0.003464,16.797264,55.490959,6.298974
1377,0.988805,9.481039,1.005565,-0.011058,0.004397,0.005329,16.797264,55.490959,6.298974
1380,0.981623,9.521740,1.003170,-0.009459,0.002931,0.008260,16.047386,54.591106,5.549096
1384,1.034295,9.428367,1.000776,-0.009992,0.006262,0.001066,16.047386,54.591106,5.549096
1419,1.027112,9.545682,1.039083,-0.009060,0.002798,0.004130,17.097216,56.990715,6.298974
1423,1.039083,9.483433,1.022324,-0.002665,0.008394,0.004930,17.097216,56.840740,5.399120
1426,1.031901,9.540894,0.950498,-0.005329,0.006528,0.002665,17.097216,56.840740,5.399120
1430,1.015141,9.502586,1.067814,-0.006262,0.000533,0.005596,17.097216,56.840740,5.399120
1433,1.017536,9.469068,1.015141,-0.005196,0.003331,0.003464,17.097216,56.840740,5.399120
1437,1.019930,9.545682,1.017536,-0.009859,0.004663,0.001732,17.097216,56.840740,5.399120
1441,1.029507,9.490616,0.933739,-0.005196,0.002931,0.001599,16.047386,56.240837,6.298974
1445,1.041478,9.478644,1.010353,-0.002931,0.004930,0.008260,16.047386,56.240837,6.298974
1449,0.988805,9.521740,0.967257,-0.010658,0.004663,0.003331,16.047386,56.240837,6.298974
1453,1.079785,9.485827,1.005565,-0.006262,0.002265,0.003730,16.047386,56.240837,6.298974
1456,1.015141,9.483433,0.993594,-0.009593,0.003464,0.006129,16.047386,56.240837,6.298974
1460,1.051055,9.536105,1.015141,-0.006395,0.000400,0.005862,17.247190,56.990715,6.748900
1464,1.041478,9.521740,1.022324,-0.008793,0.004796,0.005862,17.247190,56.990715,6.748900
1468,1.051055,9.495404,1.015141,-0.005596,0.004397,0.006262,17.247190,56.990715,6.748900
1471,1.012747,9.519346,1.019930,-0.007861,0.006528,0.000533,16.797264,56.690765,7.498778
1544,1.039083,9.473856,0.998382,-0.010392,0.005329,0.006928,17.847092,56.390812,6.448949
1547,1.017536,9.533711,0.993594,-0.009193,0.000799,0.003064,17.847092,56.390812,6.448949
1550,0.993594,9.509769,0.998382,-0.006795,0.004530,0.005329,16.197361,56.390812,4.949194
1553,0.967257,9.466674,1.034295,-0.008660,0.006528,0.001332,16.197361,56.390812,4.949194
1556,1.003170,9.476251,1.055843,-0.008394,0.003997,0.004397,16.197361,56.390812,4.949194
1559,0.981623,9.536105,1.046266,-0.005462,0.003997,0.004930,16.197361,56.390812,4.949194
1562,1.005565,9.447520,0.976834,-0.006395,0.009326,0.001332,17.847092,58.040546,6.148998
1565,1.000776,9.509769,1.027112,-0.008260,0.005596,0.001599,17.847092,58.040546,6.148998
1568,1.041478,9.521740,1.043872,-0.004130,0.005729,0.004663,17.847092,58.040546,6.148998
1571,0.986411,9.500193,1.079785,-0.002798,0.004796,0.008793,16.197361,56.840740,4.949194
1574,1.007959,9.555259,1.010353,-0.003997,0.005596,0.002398,16.197361,56.840740,4.949194
1577,0.979228,9.576807,1.003170,-0.010925,0.005596,0.002798,16.197361,56.840740,4.949194
1580,0.972046,9.493010,0.952892,-0.008926,0.004130,0.006528,16.197361,56.840740,4.949194
1583,1.027112,9.514558,0.974440,-0.004796,0.006528,0.002132,16.197361,56.840740,4.949194
1587,0.981623,9.485827,1.005565,-0.005995,0.004130,0.005063,16.197361,56.840740,4.949194
1649,0.972046,9.471462,1.058237,-0.007194,0.001998,0.005063,17.547142,56.690765,5.999022
1652,1.017536,9.461885,1.022324,-0.007061,0.006129,0.003464,16.647287,56.840740,6.148998
1656,1.005565,9.516952,1.012747,-0.008260,0.004397,0.004130,16.647287,56.840740,6.148998
1659,0.960075,9.488221,0.986411,-0.004130,0.004796,0.003730,16.647287,56.840740,6.148998
1663,0.986411,9.536105,1.034295,-0.007594,0.005462,0.006262,17.247190,55.041035,5.249145
1666,0.974440,9.445126,0.993594,-0.012391,0.004397,0.002798,17.247190,55.041035,5.249145
1670,1.012747,9.533711,1.043872,-0.004397,0.007194,0.003597,17.247190,55.041035,5.249145
1673,0.984017,9.514558,0.984017,-0.003864,0.002798,0.008660,17.547142,54.591106,4.049340
1677,1.041478,9.483433,1.024718,-0.004530,0.000666,0.005063,17.547142,54.591106,4.049340
1680,0.991199,9.528923,1.015141,-0.003597,0.004263,0.000933,16.497313,56.990715,4.799218
1684,1.000776,9.519346,0.967257,-0.008260,0.004130,0.010658,16.497313,56.990715,4.799218
1687,1.034295,9.521740,0.986411,-0.006662,0.004397,-0.001332,16.497313,56.990715,4.799218
1691,1.015141,9.512163,0.967257,-0.008260,0.002665,0.007194,17.847092,56.090862,5.699071
1695,0.986411,9.512163,1.029507,-0.007061,0.005862,0.002132,17.847092,56.090862,5.699071
1699,1.036689,9.552865,1.022324,-0.004530,0.001466,0.007194,17.847092,56.090862,5.699071
1752,0.995988,9.524135,1.012747,-0.007594,0.006262,0.003864,16.647287,56.090862,6.448949
1756,0.998382,9.533711,1.012747,-0.009060,0.003464,0.006262,16.647287,56.090862,6.448949
1760,0.974440,9.488221,0.962469,-0.006129,0.005596,0.007861,16.647287,56.090862,6.448949
1763,0.998382,9.555259,1.027112,-0.003864,0.003730,0.003331,17.097216,55.640934,4.649242
1767,1.012747,9.493010,1.003170,-0.005462,0.002798,0.002931,17.097216,55.640934,4.649242
1770,1.005565,9.454702,0.995988,-0.003331,0.006662,0.002798,17.097216,55.640934,4.649242
1774,0.981623,9.512163,1.017536,-0.004530,0.006795,0.003730,17.097216,55.640934,4.649242
1777,1.065420,9.500193,1.007959,-0.004530,0.004130,0.001998,17.097216,55.640934,4.649242
1781,0.988805,9.488221,1.017536,-0.008260,0.004130,0.006129,17.097216,56.090862,6.148998
1784,1.029507,9.495404,1.053449,-0.007461,0.003064,0.006928,17.097216,56.090862,6.148998
1788,1.015141,9.493010,1.003170,-0.008527,0.005596,0.001066,17.097216,56.090862,6.148998
1791,1.031901,9.485827,1.022324,-0.011191,0.003997,0.003198,17.097216,56.090862,6.148998
1795,1.022324,9.485827,1.019930,-0.010792,0.003464,0.004663,17.097216,56.090862,6.148998
1798,1.012747,9.514558,0.993594,-0.005462,0.007194,0.007861,17.097216,56.090862,6.148998
1802,0.969652,9.473856,1.000776,-0.005329,0.005329,0.005862,16.497313,55.790913,5.549096
1853,1.015141,9.497798,0.981623,-0.009459,0.004397,0.003997,16.497313,56.990715,5.999022
1856,0.945710,9.519346,1.036689,-0.005862,0.002798,0.003864,16.497313,56.990715,5.999022
1860,1.012747,9.526528,1.012747,-0.005862,0.003730,0.005596,16.497313,56.990715,5.999022
1863,0.995988,9.524135,0.995988,-0.005729,0.007594,0.001599,15.297508,56.240837,5.549096
1867,1.027112,9.526528,1.019930,-0.010925,0.003997,0.006528,15.297508,56.240837,5.549096
1870,0.976834,9.514558,1.034295,-0.006395,0.002265,0.007328,16.797264,56.240837,5.549096
1874,1.015141,9.504981,0.969652,-0.005462,0.003464,0.005862,16.797264,56.690765,6.298974
1877,1.046266,9.516952,1.029507,-0.007727,0.001732,0.003997,16.797264,56.690765,6.298974
1881,1.070208,9.536105,1.074997,-0.006662,0.003997,0.001865,16.797264,56.690765,6.298974
1884,0.993594,9.471462,0.979228,-0.006795,0.001865,0.007194,17.847092,56.390812,6.148998
1888,1.003170,9.481039,1.005565,-0.004796,0.003331,0.006928,17.847092,56.390812,6.148998
1891,0.979228,9.524135,0.998382,-0.010259,0.004663,0.005596,17.247190,56.240837,6.748900
1895,1.029507,9.430760,1.007959,-0.008926,0.005063,0.004930,17.247190,56.240837,6.748900
1898,1.031901,9.490616,1.000776,-0.006129,0.004930,0.001466,17.247190,56.240837,6.748900
1902,0.976834,9.512163,1.000776,-0.007328,0.001066,0.002265,17.397165,55.640934,6.898876
1953,1.041478,9.454702,1.027112,-0.005462,0.003864,0.006262,15.747435,56.690765,5.249145
1956,0.991199,9.516952,1.031901,-0.004263,0.006528,0.002931,15.747435,56.690765,5.249145
1960,1.017536,9.548077,1.063026,-0.007194,0.004397,0.002132,15.747435,56.690765,5.249145
1963,1.058237,9.476251,1.015141,0.000133,0.001865,0.004263,15.747435,56.690765,5.249145
1967,0.938527,9.524135,1.000776,-0.007594,0.005462,0.009193,15.747435,56.690765,5.249145
1970,1.003170,9.500193,1.022324,-0.006662,0.003331,0.008660,15.747435,56.690765,5.249145
1974,0.969652,9.471462,0.991199,-0.007861,0.004397,0.002665,16.797264,56.240837,5.999022
1977,0.986411,9.433155,1.024718,-0.009593,0.004263,0.000666,16.797264,56.240837,5.999022
1981,0.991199,9.536105,0.995988,-0.008260,0.005462,0.002132,16.797264,56.240837,5.999022
1984,1.017536,9.502586,1.019930,-0.008926,0.004397,0.001865,16.797264,56.240837,5.999022
1988,1.017536,9.471462,1.000776,-0.010126,0.003864,0.007861,16.797264,56.240837,5.999022
1991,0.995988,9.552865,1.015141,-0.005995,0.006928,-0.003198,16.647287,55.640934,5.399120
1995,1.048660,9.528923,1.034295,-0.003597,0.002132,0.003331,16.647287,55.640934,5.399120
1998,1.003170,9.476251,0.950498,-0.010525,0.001199,0.005995,16.647287,55.640934,5.399120
2002,1.005565,9.536105,1.010353,-0.001066,0.006528,0.004796,16.647287,55.640934,5.399120
2057,1.010353,9.495404,0.988805,-0.008527,0.000000,0.006795,18.596970,56.840740,6.148998
2060,0.969652,9.502586,1.036689,-0.008926,0.006395,0.003864,18.596970,56.840740,6.148998
2064,1.055843,9.509769,1.019930,-0.004663,0.005063,0.001732,17.547142,55.490959,6.298974
2067,0.988805,9.548077,0.976834,-0.007328,0.003064,0.002531,17.547142,55.490959,6.298974
2071,1.027112,9.481039,0.962469,-0.010658,0.007727,0.006262,17.547142,55.490959,6.298974
2074,1.039083,9.514558,1.060631,-0.004796,0.005596,0.003997,17.547142,56.240837,7.798729
2078,0.995988,9.461885,1.005565,-0.009992,0.003064,0.001199,17.547142,56.240837,7.798729
2081,1.007959,9.500193,1.039083,-0.003864,0.003997,0.000000,17.547142,56.240837,7.798729
2085,1.019930,9.536105,0.993594,-0.007328,0.007194,0.001199,17.247190,56.240837,5.249145
2089,0.967257,9.512163,0.995988,-0.005729,0.006662,0.005063,17.247190,56.240837,5.249145
2092,1.041478,9.512163,0.993594,-0.009726,0.004130,0.002798,17.247190,56.690765,5.549096
2096,1.046266,9.514558,1.017536,-0.002265,0.002798,0.009726,17.247190,56.690765,5.549096
2099,1.022324,9.457097,0.995988,-0.007061,0.003464,0.003864,17.247190,56.690765,5.549096
2103,1.012747,9.514558,1.058237,-0.005329,0.006129,0.005329,17.097216,58.340496,5.699071
2106,0.986411,9.495404,1.031901,-0.005063,0.004663,0.006528,17.097216,58.340496,5.699071
2165,1.036689,9.521740,0.979228,-0.013323,0.003064,0.001732,17.847092,56.390812,6.448949
2168,0.981623,9.519346,1.010353,-0.010392,0.003597,0.003730,17.847092,56.390812,6.448949
2172,1.051055,9.464279,1.017536,-0.008926,0.007194,0.007461,17.847092,56.390812,6.448949
2175,0.964863,9.469068,1.007959,-0.004530,0.001199,0.007594,17.847092,56.390812,6.448949
2179,1.039083,9.516952,0.998382,-0.005995,0.006262,0.002132,17.847092,56.390812,6.448949
2182,1.048660,9.478644,0.976834,-0.002398,0.003464,0.007328,18.596970,56.390812,6.448949
2186,1.007959,9.504981,1.063026,-0.006395,0.005462,0.005596,18.596970,56.390812,6.448949
2190,1.034295,9.531317,0.991199,-0.006395,0.003997,0.004263,18.596970,56.390812,6.448949
2194,0.957681,9.509769,0.986411,-0.006395,0.004663,0.006528,17.247190,55.490959,6.298974
2197,0.967257,9.504981,1.005565,-0.005462,0.009459,0.000666,17.247190,55.490959,6.298974
2201,0.981623,9.528923,1.024718,-0.005862,0.004130,0.003198,17.247190,55.490959,6.298974
2204,1.005565,9.521740,1.010353,-0.010525,0.000933,0.002265,17.547142,56.990715,5.249145
2208,0.969652,9.540894,1.000776,-0.007994,0.003730,0.004263,17.547142,56.990715,5.249145
2211,0.988805,9.521740,1.019930,-0.003464,0.005862,0.000000,17.547142,56.990715,5.249145
2215,1.022324,9.548077,1.060631,-0.009726,0.005729,0.002931,17.397165,56.390812,5.699071
2267,1.012747,9.500193,1.055843,-0.003597,0.005995,0.003864,18.147043,56.090862,6.148998
